"","Yr","Mn","alt","mlo","kum","chr","sam","ker","nzd"
"1",1960,1,NA,NA,NA,NA,NA,NA,NA
"2",1960,2,NA,NA,NA,NA,NA,NA,NA
"3",1960,3,NA,317.69,NA,NA,NA,NA,NA
"4",1960,4,NA,319.06,NA,NA,NA,NA,NA
"5",1960,5,NA,319.43,NA,NA,NA,NA,NA
"6",1960,6,NA,318.68,NA,NA,NA,NA,NA
"7",1960,7,NA,317.13,NA,NA,NA,NA,NA
"8",1960,8,NA,315.74,NA,NA,NA,NA,NA
"9",1960,9,NA,313.72,NA,NA,NA,NA,NA
"10",1960,10,NA,312.84,NA,NA,NA,NA,NA
"11",1960,11,NA,315.24,NA,NA,NA,NA,NA
"12",1960,12,NA,316.8,NA,NA,NA,NA,NA
"13",1961,1,NA,317.4,NA,NA,NA,NA,NA
"14",1961,2,NA,317.93,NA,NA,NA,NA,NA
"15",1961,3,NA,318.13,NA,NA,NA,NA,NA
"16",1961,4,NA,319.92,NA,NA,NA,NA,NA
"17",1961,5,NA,320.47,NA,NA,NA,NA,NA
"18",1961,6,NA,318.82,NA,NA,NA,NA,NA
"19",1961,7,NA,318.94,NA,NA,NA,NA,NA
"20",1961,8,NA,315.5,NA,NA,NA,NA,NA
"21",1961,9,NA,315.63,NA,NA,NA,NA,NA
"22",1961,10,NA,314.91,NA,NA,NA,NA,NA
"23",1961,11,NA,316.17,NA,NA,NA,NA,NA
"24",1961,12,NA,318.14,NA,NA,NA,NA,NA
"25",1962,1,NA,317.86,NA,NA,NA,NA,NA
"26",1962,2,NA,318.35,NA,NA,NA,NA,NA
"27",1962,3,NA,320.02,NA,NA,NA,NA,NA
"28",1962,4,NA,320.29,NA,NA,NA,NA,NA
"29",1962,5,NA,321.53,NA,NA,NA,NA,NA
"30",1962,6,NA,320.06,NA,NA,NA,NA,NA
"31",1962,7,NA,318.01,NA,NA,NA,NA,NA
"32",1962,8,NA,317.12,NA,NA,NA,NA,NA
"33",1962,9,NA,315.36,NA,NA,NA,NA,NA
"34",1962,10,NA,314.66,NA,NA,NA,NA,NA
"35",1962,11,NA,316.94,NA,NA,NA,NA,NA
"36",1962,12,NA,317.87,NA,NA,NA,NA,NA
"37",1963,1,NA,318.69,NA,NA,NA,NA,NA
"38",1963,2,NA,319.32,NA,NA,NA,NA,NA
"39",1963,3,NA,320.1,NA,NA,NA,NA,NA
"40",1963,4,NA,321.27,NA,NA,NA,NA,NA
"41",1963,5,NA,321.78,NA,NA,NA,NA,NA
"42",1963,6,NA,321.02,NA,NA,NA,NA,NA
"43",1963,7,NA,319.43,NA,NA,NA,NA,NA
"44",1963,8,NA,317.39,NA,NA,NA,NA,NA
"45",1963,9,NA,316.42,NA,NA,NA,NA,NA
"46",1963,10,NA,316.06,NA,NA,NA,NA,NA
"47",1963,11,NA,317.35,NA,NA,NA,NA,NA
"48",1963,12,NA,318.52,NA,NA,NA,NA,NA
"49",1964,1,NA,319.32,NA,NA,NA,NA,NA
"50",1964,2,NA,319.93,NA,NA,NA,NA,NA
"51",1964,3,NA,320.72,NA,NA,NA,NA,NA
"52",1964,4,NA,321.87,NA,NA,NA,NA,NA
"53",1964,5,NA,322.34,NA,NA,NA,NA,NA
"54",1964,6,NA,321.53,NA,NA,NA,NA,NA
"55",1964,7,NA,319.91,NA,NA,NA,NA,NA
"56",1964,8,NA,317.85,NA,NA,NA,NA,NA
"57",1964,9,NA,316.36,NA,NA,NA,NA,NA
"58",1964,10,NA,316.52,NA,NA,NA,NA,NA
"59",1964,11,NA,317.82,NA,NA,NA,NA,NA
"60",1964,12,NA,319.02,NA,NA,NA,NA,NA
"61",1965,1,NA,319.92,NA,NA,NA,NA,NA
"62",1965,2,NA,320.43,NA,NA,NA,NA,NA
"63",1965,3,NA,321.21,NA,NA,NA,NA,NA
"64",1965,4,NA,322.61,NA,NA,NA,NA,NA
"65",1965,5,NA,322.92,NA,NA,NA,NA,NA
"66",1965,6,NA,322.17,NA,NA,NA,NA,NA
"67",1965,7,NA,319.27,NA,NA,NA,NA,NA
"68",1965,8,NA,318.58,NA,NA,NA,NA,NA
"69",1965,9,NA,317.13,NA,NA,NA,NA,NA
"70",1965,10,NA,317.35,NA,NA,NA,NA,NA
"71",1965,11,NA,318.72,NA,NA,NA,NA,NA
"72",1965,12,NA,319.97,NA,NA,NA,NA,NA
"73",1966,1,NA,320.5,NA,NA,NA,NA,NA
"74",1966,2,NA,321.89,NA,NA,NA,NA,NA
"75",1966,3,NA,322.4,NA,NA,NA,NA,NA
"76",1966,4,NA,324.42,NA,NA,NA,NA,NA
"77",1966,5,NA,324.22,NA,NA,NA,NA,NA
"78",1966,6,NA,323.5,NA,NA,NA,NA,NA
"79",1966,7,NA,321.94,NA,NA,NA,NA,NA
"80",1966,8,NA,319.92,NA,NA,NA,NA,NA
"81",1966,9,NA,318.46,NA,NA,NA,NA,NA
"82",1966,10,NA,319.33,NA,NA,NA,NA,NA
"83",1966,11,NA,319.77,NA,NA,NA,NA,NA
"84",1966,12,NA,321.14,NA,NA,NA,NA,NA
"85",1967,1,NA,322.05,NA,NA,NA,NA,NA
"86",1967,2,NA,322.7,NA,NA,NA,NA,NA
"87",1967,3,NA,323.5,NA,NA,NA,NA,NA
"88",1967,4,NA,324.68,NA,NA,NA,NA,NA
"89",1967,5,NA,325.21,NA,NA,NA,NA,NA
"90",1967,6,NA,324.85,NA,NA,NA,NA,NA
"91",1967,7,NA,322.77,NA,NA,NA,NA,NA
"92",1967,8,NA,320.74,NA,NA,NA,NA,NA
"93",1967,9,NA,319.24,NA,NA,NA,NA,NA
"94",1967,10,NA,319.4,NA,NA,NA,NA,NA
"95",1967,11,NA,320.73,NA,NA,NA,NA,NA
"96",1967,12,NA,321.93,NA,NA,NA,NA,NA
"97",1968,1,NA,322.76,NA,NA,NA,NA,NA
"98",1968,2,NA,323.41,NA,NA,NA,NA,NA
"99",1968,3,NA,323.28,NA,NA,NA,NA,NA
"100",1968,4,NA,325.46,NA,NA,NA,NA,NA
"101",1968,5,NA,326.23,NA,NA,NA,NA,NA
"102",1968,6,NA,325.24,NA,NA,NA,NA,NA
"103",1968,7,NA,323.6,NA,NA,NA,NA,NA
"104",1968,8,NA,322.58,NA,NA,NA,NA,NA
"105",1968,9,NA,320.2,NA,NA,NA,NA,NA
"106",1968,10,NA,319.38,NA,NA,NA,NA,NA
"107",1968,11,NA,320.98,NA,NA,NA,NA,NA
"108",1968,12,NA,323.06,NA,NA,NA,NA,NA
"109",1969,1,NA,324.28,NA,NA,NA,NA,NA
"110",1969,2,NA,324.15,NA,NA,NA,NA,NA
"111",1969,3,NA,325.61,NA,NA,NA,NA,NA
"112",1969,4,NA,326.55,NA,NA,NA,NA,NA
"113",1969,5,NA,328.14,NA,NA,NA,NA,NA
"114",1969,6,NA,326.72,NA,NA,NA,NA,NA
"115",1969,7,NA,325.19,NA,NA,NA,NA,NA
"116",1969,8,NA,323.73,NA,NA,NA,NA,NA
"117",1969,9,NA,322.29,NA,NA,NA,NA,NA
"118",1969,10,NA,321,NA,NA,NA,NA,NA
"119",1969,11,NA,323.36,NA,NA,NA,NA,NA
"120",1969,12,NA,323.52,NA,NA,NA,NA,NA
"121",1970,1,NA,325.24,NA,NA,NA,NA,NA
"122",1970,2,NA,325.95,NA,NA,NA,NA,NA
"123",1970,3,NA,326.79,NA,NA,NA,NA,NA
"124",1970,4,NA,328.23,NA,NA,NA,NA,NA
"125",1970,5,NA,328.33,NA,NA,NA,NA,NA
"126",1970,6,NA,327.67,NA,NA,NA,NA,NA
"127",1970,7,NA,325.98,NA,NA,NA,NA,NA
"128",1970,8,NA,323.39,NA,NA,NA,NA,NA
"129",1970,9,NA,323.74,NA,NA,NA,NA,NA
"130",1970,10,NA,323.09,NA,NA,NA,NA,NA
"131",1970,11,NA,324.29,NA,NA,NA,NA,NA
"132",1970,12,NA,325.01,NA,NA,NA,NA,NA
"133",1971,1,NA,326.06,NA,NA,NA,NA,NA
"134",1971,2,NA,326.88,NA,NA,NA,NA,NA
"135",1971,3,NA,327.02,NA,NA,NA,NA,NA
"136",1971,4,NA,327.17,NA,NA,NA,NA,NA
"137",1971,5,NA,328.54,NA,NA,NA,NA,NA
"138",1971,6,NA,326.55,NA,NA,NA,NA,NA
"139",1971,7,NA,326.9,NA,NA,NA,NA,NA
"140",1971,8,NA,325.64,NA,NA,NA,NA,NA
"141",1971,9,NA,323.53,NA,NA,NA,NA,NA
"142",1971,10,NA,323.37,NA,NA,NA,NA,NA
"143",1971,11,NA,324.8,NA,NA,NA,NA,NA
"144",1971,12,NA,325.99,NA,NA,NA,NA,NA
"145",1972,1,NA,326.76,NA,NA,NA,NA,NA
"146",1972,2,NA,328.17,NA,NA,NA,NA,NA
"147",1972,3,NA,328.55,NA,NA,NA,NA,NA
"148",1972,4,NA,329.87,NA,NA,NA,NA,NA
"149",1972,5,NA,330.48,NA,NA,NA,NA,NA
"150",1972,6,NA,329.38,NA,NA,NA,NA,NA
"151",1972,7,NA,328.78,NA,NA,NA,NA,NA
"152",1972,8,NA,326.89,NA,NA,NA,NA,NA
"153",1972,9,NA,324.73,NA,NA,NA,NA,NA
"154",1972,10,NA,325.14,NA,NA,NA,NA,NA
"155",1972,11,NA,326.69,NA,NA,NA,NA,NA
"156",1972,12,NA,327.78,NA,NA,NA,NA,NA
"157",1973,1,NA,328.66,NA,NA,NA,NA,NA
"158",1973,2,NA,329.17,NA,NA,NA,NA,NA
"159",1973,3,NA,330.11,NA,NA,NA,NA,NA
"160",1973,4,NA,331.34,NA,NA,NA,NA,NA
"161",1973,5,NA,332.65,NA,NA,NA,NA,NA
"162",1973,6,NA,332.02,NA,NA,NA,NA,NA
"163",1973,7,NA,330.42,NA,NA,NA,NA,NA
"164",1973,8,NA,329,NA,NA,NA,NA,NA
"165",1973,9,NA,326.38,NA,NA,NA,NA,NA
"166",1973,10,NA,327.22,NA,NA,NA,NA,NA
"167",1973,11,NA,328.44,NA,NA,NA,NA,NA
"168",1973,12,NA,329.21,NA,NA,NA,NA,NA
"169",1974,1,NA,329.94,NA,NA,NA,NA,NA
"170",1974,2,NA,329.49,NA,NA,NA,NA,NA
"171",1974,3,NA,329.81,NA,NA,NA,NA,NA
"172",1974,4,NA,332.45,NA,NA,NA,NA,NA
"173",1974,5,NA,332.66,NA,NA,NA,NA,NA
"174",1974,6,NA,331.54,NA,NA,NA,NA,NA
"175",1974,7,NA,331.05,NA,NA,NA,NA,NA
"176",1974,8,NA,329.03,NA,NA,NA,NA,NA
"177",1974,9,NA,326.75,NA,NA,NA,NA,NA
"178",1974,10,NA,327.81,NA,NA,NA,NA,NA
"179",1974,11,NA,328.82,NA,NA,NA,NA,NA
"180",1974,12,NA,330.41,NA,331.26,NA,NA,NA
"181",1975,1,NA,330.76,NA,331.93,NA,NA,NA
"182",1975,2,NA,331.08,NA,331.92,NA,NA,NA
"183",1975,3,NA,332.11,NA,331.92,NA,NA,NA
"184",1975,4,NA,333.25,NA,332.55,NA,NA,NA
"185",1975,5,NA,334.27,NA,332.3,NA,NA,NA
"186",1975,6,NA,332.52,NA,332.44,NA,NA,NA
"187",1975,7,NA,331.9,NA,332.07,NA,NA,NA
"188",1975,8,NA,329.98,NA,331.27,NA,NA,NA
"189",1975,9,NA,329.18,NA,331.59,NA,NA,NA
"190",1975,10,NA,328.35,NA,332.27,NA,NA,NA
"191",1975,11,NA,329.01,NA,332.52,NA,NA,NA
"192",1975,12,NA,330.74,NA,332.64,NA,NA,NA
"193",1976,1,NA,331.23,NA,332.85,NA,NA,NA
"194",1976,2,NA,332.79,NA,332.25,NA,NA,NA
"195",1976,3,NA,334.25,NA,333.07,NA,NA,NA
"196",1976,4,NA,334.71,NA,334.32,NA,NA,NA
"197",1976,5,NA,334.65,NA,333.81,NA,NA,NA
"198",1976,6,NA,334.73,NA,333.36,NA,NA,NA
"199",1976,7,NA,332.4,NA,333.15,NA,NA,NA
"200",1976,8,NA,330.66,NA,332.42,NA,NA,NA
"201",1976,9,NA,328.79,NA,331.91,NA,NA,NA
"202",1976,10,NA,328.5,NA,331.85,NA,NA,NA
"203",1976,11,NA,330.71,NA,332.04,NA,NA,NA
"204",1976,12,NA,332.18,NA,332.63,NA,NA,NA
"205",1977,1,NA,333.11,NA,333.01,NA,NA,NA
"206",1977,2,NA,333.08,NA,333.44,NA,NA,NA
"207",1977,3,NA,334.31,NA,335.05,NA,NA,NA
"208",1977,4,NA,336.18,NA,335.99,NA,NA,NA
"209",1977,5,NA,336.73,NA,335.52,NA,NA,NA
"210",1977,6,NA,336.49,NA,334.86,NA,NA,NA
"211",1977,7,NA,334.95,NA,334.66,NA,NA,332.77
"212",1977,8,NA,331.69,NA,333.71,NA,NA,332.99
"213",1977,9,NA,330.8,NA,333.47,NA,NA,332.56
"214",1977,10,NA,330.37,NA,333.51,NA,NA,332.35
"215",1977,11,NA,332.56,NA,333.48,NA,NA,333.8
"216",1977,12,NA,334.12,NA,334.16,NA,NA,333.33
"217",1978,1,NA,335.38,NA,335.1,NA,NA,333.5
"218",1978,2,NA,336.13,NA,335.58,NA,NA,333.27
"219",1978,3,NA,337.04,NA,335.86,NA,NA,332.89
"220",1978,4,NA,337.99,NA,335.69,NA,NA,333.47
"221",1978,5,NA,338.6,NA,336.2,NA,NA,333.24
"222",1978,6,NA,337.77,NA,335.97,NA,NA,333.79
"223",1978,7,NA,336.69,NA,336.08,NA,NA,334.91
"224",1978,8,NA,334.14,NA,335.8,NA,NA,334.13
"225",1978,9,NA,332.82,NA,335.14,NA,NA,335.73
"226",1978,10,NA,332.84,NA,335.46,NA,NA,334.53
"227",1978,11,NA,334.28,NA,335.05,NA,NA,334.44
"228",1978,12,NA,335.04,NA,335.81,NA,NA,334.64
"229",1979,1,NA,336.41,NA,336.32,NA,NA,333.57
"230",1979,2,NA,336.92,NA,336.89,NA,NA,335.21
"231",1979,3,NA,338.41,338.94,337.56,NA,NA,335.11
"232",1979,4,NA,338.45,339.73,338.71,NA,NA,334.95
"233",1979,5,NA,339.44,343.5,338.58,NA,NA,334.63
"234",1979,6,NA,339.03,340.05,337.84,NA,NA,335.62
"235",1979,7,NA,338.24,337.38,337.63,NA,NA,336.15
"236",1979,8,NA,336.24,336.73,336.98,NA,NA,336.34
"237",1979,9,NA,333.6,333.67,336.46,NA,NA,336.27
"238",1979,10,NA,333.91,334.69,336.32,NA,NA,335.73
"239",1979,11,NA,335.62,337.09,336.8,NA,NA,334.89
"240",1979,12,NA,337.22,337.94,337.39,NA,NA,335.49
"241",1980,1,NA,338.12,339.43,338.48,NA,NA,335.67
"242",1980,2,NA,339.31,340.66,338.85,NA,NA,335.78
"243",1980,3,NA,340.31,340.67,339.66,NA,NA,336.36
"244",1980,4,NA,340.36,342.62,340.44,NA,NA,336.36
"245",1980,5,NA,341.73,343.3,339.87,NA,NA,337.08
"246",1980,6,NA,341.03,341.59,339.39,NA,NA,337.01
"247",1980,7,NA,338.54,338.03,340.21,NA,NA,338.6
"248",1980,8,NA,337.58,336.66,339.23,NA,NA,337.42
"249",1980,9,NA,335.68,335.12,338.4,NA,NA,337.78
"250",1980,10,NA,336.28,336.28,338.38,NA,NA,337.42
"251",1980,11,NA,337.34,338.98,338.72,NA,NA,337.75
"252",1980,12,NA,338.86,339.08,339.38,NA,NA,337.59
"253",1981,1,NA,339.71,341.06,340.62,NA,NA,337.38
"254",1981,2,NA,340.56,341.01,340.77,NA,NA,337.22
"255",1981,3,NA,341.29,342.82,341.38,NA,NA,337.26
"256",1981,4,NA,343.21,342.64,341.23,NA,NA,337.67
"257",1981,5,NA,343.18,343.77,340.96,NA,NA,338.86
"258",1981,6,NA,342.34,342.56,340.8,NA,NA,338.71
"259",1981,7,NA,340.77,338.14,340.62,NA,NA,338.84
"260",1981,8,NA,338.64,336.9,339.95,NA,NA,339.07
"261",1981,9,NA,336.94,336.46,338.86,339.03,NA,338.95
"262",1981,10,NA,336.97,337.78,339.33,339.06,NA,337.92
"263",1981,11,NA,338.29,339.02,339.67,339.7,NA,338.53
"264",1981,12,NA,340.06,341.5,340.51,339.92,NA,338.59
"265",1982,1,NA,340.69,342.14,341.11,340.69,NA,338.4
"266",1982,2,NA,341.64,341.86,341.85,340.97,NA,338.45
"267",1982,3,NA,343.23,343.49,342.15,340.25,NA,338.66
"268",1982,4,NA,344.07,344.33,342.97,340.78,NA,339.1
"269",1982,5,NA,343.64,345.03,342.34,339.85,NA,339.1
"270",1982,6,NA,342.6,343.82,341.93,340.22,NA,339.76
"271",1982,7,NA,342.25,340.78,341.77,341.13,NA,339.51
"272",1982,8,NA,339.02,338.33,341.09,341.35,NA,340.43
"273",1982,9,NA,337.66,337.05,340.48,340.53,NA,339.83
"274",1982,10,NA,337.9,337.55,340.58,340.12,NA,339.85
"275",1982,11,NA,339.09,340.04,340.78,340.57,NA,340.01
"276",1982,12,NA,340.33,341.33,341.62,340.92,340.34,339.99
"277",1983,1,NA,341.83,341.98,341.67,340.62,340.94,339.86
"278",1983,2,NA,342.42,343.69,343.11,341.03,341.02,339.96
"279",1983,3,NA,342.7,344.99,343.3,341.04,340.88,340.31
"280",1983,4,NA,345.41,345.42,345.22,341.87,341.1,340.41
"281",1983,5,NA,345.98,346.25,344.99,342.04,341.23,340.69
"282",1983,6,NA,345.33,345.01,343.41,342.4,340.97,341.13
"283",1983,7,NA,343.16,342.46,343.27,342.39,341.58,341.29
"284",1983,8,NA,341.52,339.65,342.61,342.41,341.44,342.07
"285",1983,9,NA,339.84,338.53,342.14,342.19,341.55,341.71
"286",1983,10,NA,340.06,340.4,342.13,342.64,341.67,341.37
"287",1983,11,NA,340.89,342.47,341.77,342.93,342.19,341.44
"288",1983,12,NA,343.14,343.78,342.71,342.56,342.11,341.41
"289",1984,1,NA,343.96,344.62,343.69,343.82,342.76,341.36
"290",1984,2,NA,344.65,345.67,344.26,343.89,342.73,341.46
"291",1984,3,NA,345.47,345.95,345.77,343.94,342.25,341.37
"292",1984,4,NA,347.29,348.13,346.77,343.54,343.04,340.96
"293",1984,5,NA,347.34,348.02,346,342.85,342.21,341.85
"294",1984,6,NA,346.86,346.79,345.59,343.01,342.49,342.31
"295",1984,7,NA,345.08,344,344.87,343.39,342.02,342.89
"296",1984,8,NA,342.71,340.52,344.36,343.75,342.79,342.9
"297",1984,9,NA,340.75,340.21,343.27,344.44,342.9,342.65
"298",1984,10,NA,341.57,341.64,342.98,344.12,343.09,342.47
"299",1984,11,NA,342.97,342.92,343.8,343.91,343.44,342.76
"300",1984,12,NA,343.85,344.5,344.54,344.67,343.86,342.52
"301",1985,1,NA,344.62,346.15,345.26,344.82,344.15,342.35
"302",1985,2,NA,345.65,346.25,345.32,345.18,344.13,342.44
"303",1985,3,NA,347.31,347.69,346.56,345.27,343.91,342.45
"304",1985,4,NA,347.87,348.3,347.39,345.34,344.39,342.82
"305",1985,5,NA,348.81,349.95,346.94,344.64,342.72,343.02
"306",1985,6,NA,348.2,348.72,346.82,344.81,343.07,343.5
"307",1985,7,NA,346.45,345.73,346.21,345.03,344.19,343.94
"308",1985,8,NA,343.76,342.68,345.43,345.1,344.2,344.13
"309",1985,9,NA,343.11,340.94,344.63,346.61,344.55,344.06
"310",1985,10,NA,342.81,342.92,344.58,345.74,344.16,343.6
"311",1985,11,NA,343.96,344.24,344.8,346.17,344.24,343.74
"312",1985,12,NA,345.01,346.24,345.76,346.21,345.25,343.86
"313",1986,1,NA,346.05,346.88,346.31,346.18,345.55,343.16
"314",1986,2,NA,346.85,348,346.41,346.58,346.24,343.81
"315",1986,3,NA,347.93,348.42,347.45,346.67,345.34,344.72
"316",1986,4,NA,349.43,349.84,348.48,346.69,345.1,344.27
"317",1986,5,NA,350.13,350.29,347.77,345.82,345.41,344.85
"318",1986,6,NA,349.31,350,347.72,346.14,344.79,345
"319",1986,7,NA,347.7,347.12,347.43,346.6,345.48,345.25
"320",1986,8,NA,345.36,344.52,346.97,345.72,345.7,345.32
"321",1986,9,NA,344.36,343.69,346.54,346.46,345.76,345.82
"322",1986,10,NA,344.06,344.69,346.21,347.07,346.06,344.12
"323",1986,11,NA,345.42,346.54,346.32,346.94,346.32,345.37
"324",1986,12,NA,346.53,347.72,346.6,346.78,346.77,345.52
"325",1987,1,NA,347.53,349.07,347.43,346.96,346.31,345.41
"326",1987,2,NA,348.53,349.2,347.99,347.54,347.12,346.22
"327",1987,3,NA,349.47,350.68,348.93,348.56,346.96,345.51
"328",1987,4,NA,350.96,351.57,349.4,347,346.48,346.03
"329",1987,5,NA,351.63,352.19,350.2,347.23,347.01,346.64
"330",1987,6,NA,351.49,352.08,349.21,347.25,347.09,346.55
"331",1987,7,NA,349.93,348.78,349.39,347.52,347.41,347.04
"332",1987,8,NA,347.25,346.38,349.16,347.97,347.23,347.17
"333",1987,9,NA,346.58,344.97,348.39,348.15,347.86,348.07
"334",1987,10,NA,346.58,346.61,348.48,348.19,348.51,347.22
"335",1987,11,NA,348.15,348.22,348.39,348.85,348.63,347.05
"336",1987,12,NA,349.27,349.94,349.61,349.21,349.06,348.47
"337",1988,1,NA,350.21,350.88,350.46,349.56,349.58,347.79
"338",1988,2,NA,351.64,352.72,351.15,349.89,350.07,347.68
"339",1988,3,NA,352.39,352.86,351.8,349.37,349.02,347.85
"340",1988,4,NA,353.92,354.44,353.02,349.66,349.07,348
"341",1988,5,NA,354.27,354.96,352.19,349.47,348.61,348.83
"342",1988,6,NA,353.67,354.03,351.75,349.61,348.67,348.36
"343",1988,7,NA,352.35,351.56,351.42,349.87,349.44,348.78
"344",1988,8,NA,350.32,349.3,350.43,350.08,349.32,349.5
"345",1988,9,NA,348.79,347.33,350.44,349.99,349.81,349.45
"346",1988,10,NA,348.89,349.15,350.67,350.36,349.93,349.47
"347",1988,11,NA,349.71,350.76,351.05,350.75,350.29,348.93
"348",1988,12,NA,351.3,351.62,351.6,351.21,352.01,349.33
"349",1989,1,NA,352.41,353.35,352.39,351.64,351.05,349.56
"350",1989,2,NA,353.12,353.1,352.93,351.98,350.91,348.74
"351",1989,3,NA,353.56,354.12,353.96,351.06,350.21,350.04
"352",1989,4,NA,355.56,356.09,354.01,351.89,350.12,350.51
"353",1989,5,NA,355.84,356.78,353.62,351.76,350.29,350.29
"354",1989,6,NA,355.56,355.79,353.56,351.08,350.67,349.93
"355",1989,7,NA,354,352.67,352.9,351.24,350.81,350.86
"356",1989,8,NA,351.09,349.56,352.73,351.3,350.46,351.12
"357",1989,9,NA,349.28,349.02,352.11,351.31,349.8,350.77
"358",1989,10,NA,349.43,349.94,351.95,351.4,351.29,350.68
"359",1989,11,NA,351.1,351.78,351.99,351.87,351.39,351.33
"360",1989,12,NA,352.12,353.99,352.53,351.83,351.95,350.4
"361",1990,1,NA,353.64,354.42,353.67,352.29,352.1,350.58
"362",1990,2,NA,355.08,356.53,354.53,351.66,352.09,350.55
"363",1990,3,NA,355.6,356.73,355.62,352.84,351.89,350.85
"364",1990,4,NA,356.65,357.29,354.74,353.09,351.19,349.69
"365",1990,5,NA,357.54,357.68,354.25,352.38,351.73,351.19
"366",1990,6,NA,356.53,356.87,354.52,353.05,352.54,351.42
"367",1990,7,NA,355.22,354.61,354.36,352.84,352.07,352.21
"368",1990,8,NA,352.52,352.66,353.68,353.13,352.11,351.91
"369",1990,9,NA,351.03,350.12,353.19,353.24,352.9,352.86
"370",1990,10,NA,351.1,351.78,353.29,352.69,352.46,351.28
"371",1990,11,NA,352.74,353.7,353.62,353.36,352.68,352.28
"372",1990,12,NA,354.6,355,354.13,353.73,353.13,352.01
"373",1991,1,NA,354.55,355.93,355.12,354.53,353.51,351.92
"374",1991,2,NA,355.97,356.92,355.51,354.94,353.54,351.69
"375",1991,3,NA,357.33,358.07,355.39,354.7,353.31,352.09
"376",1991,4,NA,358.37,358.91,356.33,353.95,353.3,352.35
"377",1991,5,NA,359.08,360.19,356.05,353.88,352.99,352.56
"378",1991,6,NA,358.23,358.08,356.23,354.11,352.72,354.12
"379",1991,7,NA,355.48,355.57,355.51,354.29,353.58,353.53
"380",1991,8,NA,354.07,353.17,354.4,354.14,353.6,353.54
"381",1991,9,NA,351.9,351.26,354.12,353.83,353.56,352.93
"382",1991,10,NA,352.12,352.97,354.54,353.8,353.72,352.84
"383",1991,11,NA,353.8,354.52,354.57,354.63,354.05,352.86
"384",1991,12,NA,355.16,355.46,354.99,354.93,354.69,353.06
"385",1992,1,NA,356.37,357.09,355.68,354,354.09,352.14
"386",1992,2,NA,356.76,358.43,357.04,354.86,353.92,352.97
"387",1992,3,NA,357.86,359.01,356.77,354.84,354.43,353.27
"388",1992,4,NA,359.1,359.99,356.22,354.74,353.94,353.35
"389",1992,5,NA,359.56,360.28,357.76,354.99,354.18,353.44
"390",1992,6,NA,359.4,358.81,357.42,355.25,354.31,354.83
"391",1992,7,NA,356.39,354.06,356.41,355.62,354.86,354.68
"392",1992,8,NA,354.64,353.1,356,355.58,354.98,355.19
"393",1992,9,NA,353.44,352.2,354.82,355.16,354.91,354.74
"394",1992,10,NA,353.01,353.33,355.29,355.54,354.85,354.68
"395",1992,11,NA,354.61,355.06,355.14,355.15,355.15,354.12
"396",1992,12,NA,355.73,356.9,356.22,355.82,355.35,354.29
"397",1993,1,NA,356.71,357.62,356.85,355.33,355.72,353.76
"398",1993,2,NA,356.95,359.12,356.9,355.78,355.64,353.53
"399",1993,3,NA,358.35,358.9,357.3,356.29,355.08,355.25
"400",1993,4,NA,359.09,360.17,359.11,355.63,355.09,354.36
"401",1993,5,NA,360.56,361.44,358.4,354.92,354.54,355
"402",1993,6,NA,359.61,359.88,357.93,355.97,354.99,354.48
"403",1993,7,NA,357.36,355.51,357.86,356.04,355.18,355.79
"404",1993,8,NA,355.63,353.61,357.76,356.35,355.6,355.43
"405",1993,9,NA,353.38,352.64,356.56,356.02,355.63,355.99
"406",1993,10,NA,353.76,354.37,355.85,356.36,356.44,355.06
"407",1993,11,NA,355.47,356.03,356.76,356.61,356.96,355.61
"408",1993,12,NA,356.81,358.38,357.93,356.91,356.63,355.09
"409",1994,1,NA,358.44,359.37,358.18,357.29,356.98,354.77
"410",1994,2,NA,359.05,360.5,358.45,357.79,356.6,355.1
"411",1994,3,NA,359.55,361.46,359.28,357.26,356.65,356.09
"412",1994,4,NA,361.16,361.79,360.39,357.3,356.52,355.93
"413",1994,5,NA,361.61,362.47,359.87,357.2,356.49,355.86
"414",1994,6,NA,361.01,361.29,359.4,357.73,356.43,356.09
"415",1994,7,NA,358.89,358.33,359.41,357.43,356.68,357.03
