Yr,Mn,Date Excel,Date,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled [ppm]
2011,1,40558,2011.0411,      NaN,      NaN,395.66,391.44,395.66,391.44
2011,2,40589,2011.126,      NaN,      NaN,396.87,391.64,396.87,391.64
2011,3,40617,2011.2027,      NaN,      NaN,397.54,391.82,397.54,391.82
2011,4,40648,2011.2877,      NaN,      NaN,397.7,392.03,397.7,392.03
2011,5,40678,2011.3699,      NaN,      NaN,397.9,392.23,397.9,392.23
2011,6,40709,2011.4548,      NaN,      NaN,395.29,392.43,395.29,392.43
2011,7,40739,2011.537,      NaN,      NaN,387.95,392.63,387.95,392.63
2011,8,40770,2011.6219,      NaN,      NaN,381.62,392.83,381.62,392.83
2011,9,40801,2011.7068,381.93,392.29,382.68,393.04,381.93,392.29
2011,10,40831,2011.789,388.07,393.28,388.02,393.23,388.07,393.28
2011,11,40862,2011.874,393.78,393.99,393.22,393.43,393.78,393.99
2011,12,40892,2011.9562,396.67,393.9,396.39,393.61,396.67,393.9
2012,1,40923,2012.041,399.1,394.87,398.02,393.79,399.1,394.87
2012,2,40954,2012.1257,398.83,393.6,399.2,393.97,398.83,393.6
2012,3,40983,2012.2049,399.4,393.67,399.85,394.13,399.4,393.67
2012,4,41014,2012.2896,400.07,394.39,400,394.31,400.07,394.39
2012,5,41044,2012.3716,400.42,394.75,400.17,394.5,400.42,394.75
2012,6,41075,2012.4563,397.28,394.51,397.47,394.71,397.28,394.51
2012,7,41105,2012.5383,389.59,394.4,390.11,394.92,389.59,394.4
2012,8,41136,2012.623,382.7,393.96,383.9,395.16,382.7,393.96
2012,9,41167,2012.7077,386,396.33,385.08,395.41,386,396.33
2012,10,41197,2012.7896,390.42,395.6,390.49,395.67,390.42,395.6
2012,11,41228,2012.8743,396.01,396.2,395.75,395.95,396.01,396.2
2012,12,41258,2012.9563,399.34,396.56,399,396.22,399.34,396.56
2013,1,41289,2013.0411,400.88,396.64,400.74,396.5,400.88,396.64
2013,2,41320,2013.126,401.38,396.14,402.04,396.8,401.38,396.14
2013,3,41348,2013.2027,401.56,395.83,402.8,397.07,401.56,395.83
2013,4,41379,2013.2877,401.93,396.24,403.07,397.38,401.93,396.24
2013,5,41409,2013.3699,      NaN,      NaN,403.37,397.68,403.37,397.68
2013,6,41440,2013.4548,400.68,397.81,400.86,397.99,400.68,397.81
2013,7,41470,2013.537,394.75,399.44,393.59,398.28,394.75,399.44
2013,8,41501,2013.6219,387.69,398.93,387.31,398.55,387.69,398.93
2013,9,41532,2013.7068,387.85,398.24,388.42,398.81,387.85,398.24
2013,10,41562,2013.789,394.16,399.39,393.81,399.03,394.16,399.39
2013,11,41593,2013.874,399.72,399.93,399.04,399.25,399.72,399.93
2013,12,41623,2013.9562,401.47,398.69,402.22,399.44,401.47,398.69
2014,1,41654,2014.0411,      NaN,      NaN,403.86,399.62,403.86,399.62
2014,2,41685,2014.126,404.43,399.18,405.04,399.79,404.43,399.18
2014,3,41713,2014.2027,406.74,401,405.66,399.93,406.74,401
2014,4,41744,2014.2877,404.89,399.19,405.77,400.07,404.89,399.19
2014,5,41774,2014.3699,405.59,399.89,405.9,400.2,405.59,399.89
2014,6,41805,2014.4548,403.38,400.5,403.2,400.33,403.38,400.5
2014,7,41835,2014.537,396.14,400.84,395.75,400.44,396.14,400.84
2014,8,41866,2014.6219,389.69,400.95,389.3,400.56,389.69,400.95
2014,9,41897,2014.7068,      NaN,      NaN,390.28,400.68,390.28,400.68
2014,10,41927,2014.789,      NaN,      NaN,395.56,400.79,395.56,400.79
2014,11,41958,2014.874,399.27,399.49,400.71,400.92,399.27,399.49
2014,12,41988,2014.9562,403.93,401.14,403.84,401.06,403.93,401.14
2015,1,42019,2015.0411,403.95,399.69,405.47,401.21,403.95,399.69
2015,2,42050,2015.126,408.04,402.78,406.64,401.38,408.04,402.78
2015,3,42078,2015.2027,407.99,402.24,407.28,401.53,407.99,402.24
2015,4,42109,2015.2877,406.89,401.18,407.41,401.7,406.89,401.18
2015,5,42139,2015.3699,407.43,401.73,407.58,401.87,407.43,401.73
2015,6,42170,2015.4548,404.65,401.77,404.93,402.05,404.65,401.77
2015,7,42200,2015.537,397.65,402.35,397.52,402.22,397.65,402.35
2015,8,42231,2015.6219,391.13,402.4,391.12,402.4,391.13,402.4
2015,9,42262,2015.7068,392.4,402.82,392.16,402.58,392.4,402.82
2015,10,42292,2015.789,397.23,402.47,397.51,402.75,397.23,402.47
2015,11,42323,2015.874,403.91,404.12,402.71,402.92,403.91,404.12
2015,12,42353,2015.9562,406.27,403.48,405.89,403.1,406.27,403.48
2016,1,42384,2016.041,406.71,402.46,407.54,403.28,406.71,402.46
2016,2,42415,2016.1257,408.97,403.71,408.74,403.48,408.97,403.71
2016,3,42444,2016.2049,409.08,403.32,409.44,403.68,409.08,403.32
2016,4,42475,2016.2896,409.59,403.88,409.63,403.92,409.59,403.88
2016,5,42505,2016.3716,409.3,403.6,409.87,404.17,409.3,403.6
2016,6,42536,2016.4563,406.65,403.87,407.23,404.45,406.65,403.87
2016,7,42566,2016.5383,399.41,404.25,399.91,404.74,399.41,404.25
2016,8,42597,2016.623,393.56,404.89,393.74,405.07,393.56,404.89
2016,9,42628,2016.7077,394.45,404.85,395.02,405.41,394.45,404.85
2016,10,42658,2016.7896,400.71,405.92,400.54,405.75,400.71,405.92
2016,11,42689,2016.8743,405.82,406.02,405.9,406.1,405.82,406.02
2016,12,42719,2016.9563,409.46,406.67,409.22,406.42,409.46,406.67
2017,1,42750,2017.0411,412.45,408.19,411,406.74,412.45,408.19
2017,2,42781,2017.126,412.4,407.12,412.29,407.02,412.4,407.12
2017,3,42809,2017.2027,413.66,407.89,413.01,407.25,413.66,407.89
2017,4,42840,2017.2877,413.55,407.82,413.2,407.47,413.55,407.82
2017,5,42870,2017.3699,413.78,408.06,413.38,407.65,413.78,408.06
2017,6,42901,2017.4548,410.66,407.77,410.7,407.81,410.66,407.77
2017,7,42931,2017.537,403.58,408.3,403.24,407.95,403.58,408.3
2017,8,42962,2017.6219,396.88,408.19,396.77,408.08,396.88,408.19
2017,9,42993,2017.7068,397.73,408.18,397.76,408.2,397.73,408.18
2017,10,43023,2017.789,402.61,407.87,403.07,408.33,402.61,407.87
2017,11,43054,2017.874,407.82,408.03,408.25,408.46,407.82,408.03
2017,12,43084,2017.9562,410.28,407.48,411.4,408.6,410.28,407.48
2018,1,43115,2018.0411,413.47,409.2,413.04,408.77,413.47,409.2
2018,2,43146,2018.126,413.35,408.07,414.23,408.95,413.35,408.07
2018,3,43174,2018.2027,413.98,408.21,414.9,409.12,413.98,408.21
2018,4,43205,2018.2877,415.79,410.06,415.06,409.32,415.79,410.06
2018,5,43235,2018.3699,415.23,409.5,415.25,409.52,415.23,409.5
2018,6,43266,2018.4548,413.53,410.63,412.61,409.72,413.53,410.63
2018,7,43296,2018.537,406.34,411.06,405.17,409.9,406.34,411.06
2018,8,43327,2018.6219,398.61,409.94,398.75,410.07,398.61,409.94
2018,9,43358,2018.7068,400.17,410.63,399.78,410.25,400.17,410.63
2018,10,43388,2018.789,404.16,409.42,405.15,410.41,404.16,409.42
2018,11,43419,2018.874,409.87,410.08,410.37,410.59,409.87,410.08
2018,12,43449,2018.9562,413.53,410.73,413.57,410.77,413.53,410.73
2019,1,43480,2019.0411,414.62,410.34,415.24,410.96,414.62,410.34
2019,2,43511,2019.126,415.87,410.58,416.46,411.17,415.87,410.58
2019,3,43539,2019.2027,417.52,411.73,417.15,411.37,417.52,411.73
2019,4,43570,2019.2877,418.38,412.63,417.34,411.59,418.38,412.63
2019,5,43600,2019.3699,417.5,411.76,417.56,411.81,417.5,411.76
2019,6,43631,2019.4548,414.28,411.38,414.94,412.05,414.28,411.38
2019,7,43661,2019.537,407.78,412.51,407.54,412.27,407.78,412.51
2019,8,43692,2019.6219,400.85,412.2,401.17,412.51,400.85,412.2
2019,9,43723,2019.7068,402.25,412.73,402.28,412.76,402.25,412.73
2019,10,43753,2019.789,407.49,412.76,407.72,413,407.49,412.76
2019,11,43784,2019.874,412.73,412.94,413.03,413.25,412.73,412.94
2019,12,43814,2019.9562,      NaN,      NaN,416.3,413.49,416.3,413.49
2020,1,43845,2020.041,418.35,414.06,418.02,413.74,418.35,414.06
2020,2,43876,2020.1257,420.54,415.25,419.27,413.98,420.54,415.25
2020,3,43905,2020.2049,419.44,413.65,419.99,414.19,419.44,413.65
2020,4,43936,2020.2896,420.43,414.68,420.17,414.42,420.43,414.68
2020,5,43966,2020.3716,420.16,414.42,420.37,414.63,420.16,414.42
2020,6,43997,2020.4563,416.75,413.95,417.65,414.85,416.75,413.95
2020,7,44027,2020.5383,      NaN,      NaN,410.18,415.05,410.18,415.05
2020,8,44058,2020.623,403.4,414.8,403.87,415.27,403.4,414.8
2020,9,44089,2020.7077,406.85,417.31,405.01,415.47,406.85,417.31
2020,10,44119,2020.7896,410.7,415.94,410.42,415.66,410.7,415.94
2020,11,44150,2020.8743,416.44,416.63,415.64,415.84,416.44,416.63
2020,12,44180,2020.9563,418.15,415.33,418.81,416,418.15,415.33
2021,1,44211,2021.0411,418.75,414.46,420.44,416.15,418.75,414.46
2021,2,44242,2021.126,423.86,418.56,421.6,416.3,423.86,418.56
2021,3,44270,2021.2027,422.03,416.23,422.22,416.42,422.03,416.23
2021,4,44301,2021.2877,422.08,416.32,422.31,416.55,422.08,416.32
2021,5,44331,2021.3699,423.19,417.43,422.44,416.68,423.19,417.43
2021,6,44362,2021.4548,420.02,417.11,419.71,416.8,420.02,417.11
2021,7,44392,2021.537,411.45,416.2,412.17,416.92,411.45,416.2
2021,8,44423,2021.6219,      NaN,      NaN,405.66,417.04,405.66,417.04
2021,9,44454,2021.7068,      NaN,      NaN,406.65,417.16,406.65,417.16
2021,10,44484,2021.789,      NaN,      NaN,411.99,417.28,411.99,417.28
2021,11,44515,2021.874,      NaN,      NaN,417.19,417.4,417.19,417.4
2021,12,44545,2021.9562,      NaN,      NaN,420.34,417.52,420.34,417.52